@relation 'autoPrice.names-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,7-8,12,16'

@attribute normalized-losses numeric
@attribute wheel-base numeric
@attribute width numeric
@attribute curb-weight numeric
@attribute engine-size numeric
@attribute horsepower numeric
@attribute class numeric

@data
164,99.8,66.2,2337,109,102,13950
164,99.4,66.4,2824,136,115,17450
158,105.8,71.4,2844,136,110,17710
158,105.8,71.4,3086,131,140,23875
192,101.2,64.8,2395,108,101,16430
192,101.2,64.8,2395,108,101,16925
188,101.2,64.8,2710,164,121,20970
188,101.2,64.8,2765,164,121,21105
121,88.4,60.3,1488,61,48,5151
98,94.5,63.6,1874,90,70,6295
81,94.5,63.6,1909,90,70,6575
118,93.7,63.8,1876,90,68,5572
118,93.7,63.8,1876,90,68,6377
118,93.7,63.8,2128,98,102,7957
148,93.7,63.8,1967,90,68,6229
148,93.7,63.8,1989,90,68,6692
148,93.7,63.8,1989,90,68,7609
110,103.3,64.6,2535,122,88,8921
145,95.9,66.3,2811,156,145,12964
137,86.6,63.9,1713,92,58,6479
137,86.6,63.9,1819,92,76,6855
101,93.7,64,1837,79,60,5399
101,93.7,64,1940,92,76,6529
101,93.7,64,1956,92,76,7129
110,96.5,64,2010,92,76,7295
78,96.5,63.9,2024,92,76,7295
106,96.5,65.2,2236,110,86,7895
106,96.5,65.2,2289,110,86,9095
85,96.5,65.2,2304,110,86,8845
85,96.5,62.5,2372,110,86,10295
85,96.5,65.2,2465,110,101,12945
107,96.5,66,2293,110,100,10345
145,113,69.6,4066,258,176,32250
104,93.1,64.2,1890,91,68,5195
104,93.1,64.2,1900,91,68,6095
104,93.1,64.2,1905,91,68,6795
113,93.1,64.2,1945,91,68,6695
113,93.1,64.2,1950,91,68,7395
129,98.8,66.5,2385,122,84,8845
115,98.8,66.5,2410,122,84,8495
129,98.8,66.5,2385,122,84,10595
115,98.8,66.5,2410,122,84,10245
115,98.8,66.5,2425,122,84,11245
118,104.9,66.1,2670,140,120,18280
93,110,70.3,3515,183,123,25552
93,110,70.3,3750,183,123,28248
93,106.7,70.3,3495,183,123,28176
93,115.6,71.7,3770,183,123,31600
142,96.6,70.5,3685,234,155,35056
161,93.7,64.4,1918,92,68,5389
161,93.7,64.4,1944,92,68,6189
161,93.7,64.4,2004,92,68,6669
161,93,63.8,2145,98,102,7689
153,96.3,65.4,2370,110,116,9959
153,96.3,65.4,2328,122,88,8499
125,96.3,65.4,2365,122,88,6989
125,96.3,65.4,2405,122,88,8189
125,96.3,65.4,2403,110,116,9279
137,96.3,65.4,2403,110,116,9279
128,94.5,63.8,1889,97,69,5499
128,94.5,63.8,2017,103,55,7099
128,94.5,63.8,1918,97,69,6649
122,94.5,63.8,1938,97,69,6849
103,94.5,63.8,2024,97,69,7349
128,94.5,63.8,1951,97,69,7299
128,94.5,63.8,2028,97,69,7799
122,94.5,63.8,1971,97,69,7499
103,94.5,63.8,2037,97,69,7999
168,95.1,63.8,2008,97,69,8249
106,97.2,65.2,2324,120,97,8949
106,97.2,65.2,2302,120,97,9549
